Component ID: TF-01A
Component Type: MicroSD (TF) Card Connector
Description:
This component is a surface-mount, push-push type MicroSD (TransFlash) card connector. Its primary functionality is to provide a mechanical interface and electrical connection for a removable MicroSD memory card, facilitating data transfer and storage expansion in portable electronic devices. The connector features a card detection switch and a write-protect detection switch, and it is designed for automated assembly with tape and reel packaging.

Key Parameters:
- Card Type: MicroSD (TF) Card
- Contact Resistance: ≤ 50 mΩ
- Insulation Resistance: ≥ 100 MΩ
- Withstanding Voltage: 500 V AC for 1 minute
- Operating Temperature: -25°C to +85°C
- Mechanical Life (Insertion/Withdrawal): 10,000 cycles
- Actuation Force (Card Ejection): 4.9 N ~ 14.7 N (500gf ~ 1500gf)

Pinout Table:
| Pin Number | Pin Name | Function | Description | Pin Type | Electrical Type |
| ---------- | -------- | -------- | ----------- | -------- | --------------- |
| 1 | DAT2 | RSV | SD Data Line 2 / Reserved in SPI mode | I/O | Signal |
| 2 | CD/DAT3 | CS | Card Detect / SD Data Line 3 / SPI Chip Select | I/O | Signal |
| 3 | CMD | DI | Command Line / SPI Data Input (MOSI) | I/O | Signal |
| 4 | VDD | Power | Positive supply voltage | Power | 3.3V |
| 5 | CLK | SCLK | Serial Clock signal | Input | Signal |
| 6 | VSS | Ground | System ground reference | Power | 0V |
| 7 | DAT0 | D0 | SD Data Line 0 / SPI Data Output (MISO) | I/O | Signal |
| 8 | DAT1 | RSV | SD Data Line 1 / Reserved in SPI mode | I/O | Signal |
| 9 | CD | Detect | Card detection switch terminal | Passive | Signal |
| 10 | GND | Shield | Connector shell ground / Mechanical support | Passive | Ground |
| 11 | GND | Shield | Connector shell ground / Mechanical support | Passive | Ground |
| 12 | GND | Shield | Connector shell ground / Mechanical support | Passive | Ground |
| 13 | GND | Shield | Connector shell ground / Mechanical support | Passive | Ground |
