Component ID: TYPE-C
Component Type: USB Type-C Receptacle Connector
Description:
This is a 16-pin USB Type-C female receptacle connector designed for surface-mount applications. Its primary functionality is to provide a reversible mechanical and electrical interface for USB Type-C cables, supporting data transfer and power delivery up to 5A at 5V DC. The component is specified for operation within an extended temperature range and includes ratings for electrical performance, mechanical durability, and environmental reliability.

Key Parameters:
- Rated Voltage/Current: DC 5V, 5A
- Operating Temperature Range: -25°C to +85°C
- Contact Resistance: ≤ 10 mΩ (measured at ≤100mA)
- Insulation Resistance: ≥ 100 MΩ (at 100V DC)
- Dielectric Strength: Withstands AC 100V (50Hz) for 1 min without breakdown
- Insertion Force: 0.5 - 2.0 kgf
- Withdrawal Force: 0.8 - 2.0 kgf (after 3 cycles)
- Mechanical Life: 5000 mating cycles (under rated load)
- Solder Heat Resistance: Withstands reflow profile with peak temperature of 260±5°C

Pinout Table:
| Pin Number | Pin Name | Function | Description | Pin Type | Electrical Type |
| ----- | -------- | -------- | ----------- | -------- | --------------- |
| 1 | GND | Ground | Common system ground reference | Power | 0V |
| 2 | VBUS | Power | Positive power supply voltage | Power | 5V - 20V |
| 3 | SBU2 | Sideband | Sideband use pin 2 | I/O | Signal |
| 4 | CC1 | Config 1 | Configuration channel 1 for PD and orientation | I/O | Signal |
| 5 | DN2 | Data- | USB 2.0 differential pair 2 (Negative) | I/O | Signal |
| 6 | DP1 | Data+ | USB 2.0 differential pair 1 (Positive) | I/O | Signal |
| 7 | DN1 | Data- | USB 2.0 differential pair 1 (Negative) | I/O | Signal |
| 8 | DP2 | Data+ | USB 2.0 differential pair 2 (Positive) | I/O | Signal |
| 9 | SBU1 | Sideband | Sideband use pin 1 | I/O | Signal |
| 10 | CC2 | Config 2 | Configuration channel 2 for PD and orientation | I/O | Signal |
| 11 | VBUS | Power | Positive power supply voltage | Power | 5V - 20V |
| 12 | GND | Ground | Common system ground reference | Power | 0V |
| 13 | SHELL | Shield | Connector shell / Mechanical mounting tab | Passive | Ground |
| 14 | SHELL | Shield | Connector shell / Mechanical mounting tab | Passive | Ground |
