Component ID: SG3525A
Component Type: Pulse Width Modulator (PWM) Controller IC
Description:
The SG3525A series are integrated circuits designed for controlling switching power supplies. They generate a variable-duty-cycle pulse train (PWM) to regulate output voltage/current. Key features include an internal 5.1V trimmed reference, an error amplifier with a common-mode range that includes the reference, a wide-frequency oscillator (sync-capable), adjustable dead time control, internal soft-start, undervoltage lockout with hysteresis, a pulse-terminating latch to prevent multiple pulses per cycle, and dual totem-pole output drivers capable of sourcing and sinking current.

Key Parameters:
- Supply Voltage (Operating): 8 V to 35 V
- Reference Output Voltage: 5.1 V (trimmed to ±1% for SG2525A, ±2% for SG3525A)
- Oscillator Frequency Range: 100 Hz to 500 kHz
- Output Driver Current (Source/Sink): > 200 mA (Typical), 500 mA (Absolute Max)
- Undervoltage Lockout Hysteresis: ~500 mV
- Dead Time Control: Adjustable via external resistor
- Soft-Start: Controlled via external capacitor
- Total Power Dissipation (Max): 1000 mW
- Operating Temperature Range (SG3525A): 0°C to 70°C

Pinout Table:
| Pin Number | Pin Name | Function | Description | Pin Type | Electrical Type |
| ----- | -------- | -------- | ----------- | -------- | --------------- |
| 1 | Inv Input | Input | Inverting Input (Error Amplifier) | Input | Analog |
| 2 | Noninv Input | Input | Non-Inverting Input (Error Amplifier) | Input | Analog |
| 3 | Sync | Input | Oscillator Synchronization | Input | Digital |
| 4 | OSC Output | Output | Oscillator Output | Output | Digital |
| 5 | CT | Input | Timing Capacitor Connection for Oscillator | Input | Analog |
| 6 | RT | Input | Timing Resistor Connection for Oscillator | Input | Analog |
| 7 | Discharge | Output | Discharge Pin for Dead Time Control Capacitor | Output | Digital |
| 8 | Soft-Start | Input/Output | Soft-Start Timing Capacitor Connection | I/O | Analog |
| 9 | Comp | Output | Compensation Pin (Error Amplifier Output) | Output | Analog |
| 10 | Shutdown | Input | Shutdown Control (Pulls low to disable outputs) | Input | Digital |
| 11 | Output A | Output | Output Driver A (PWM Signal) | Output | Power (Digital) |
| 12 | Ground | Power | Ground | Power | Ground |
| 13 | Vc | Power | Collector Supply Voltage for Output Drivers | Power | Power |
| 14 | Output B | Output | Output Driver B (PWM Signal) | Output | Power (Digital) |
| 15 | Vcc | Power | Supply Voltage | Power | Power |
| 16 | Vref | Output | 5.1V Reference Voltage Output | Output | Power (Analog) |
