Component ID: CH32V003
Component Type: 32-bit RISC-V Microcontroller (MCU)
Description:
The CH32V003 is an industrial-grade general-purpose microcontroller based on the Qingke RISC-V2A core (RV32EC ISA). It operates at up to 48 MHz, supports wide-voltage operation (2.7V to 5.5V), and features low-power modes, a single-wire debug interface, and small package options. Key peripherals include 16KB of Code Flash, 2KB of SRAM, a 10-bit ADC with up to 8 external channels, one operational amplifier/comparator, multiple timers (including an advanced timer for motor control), and standard communication interfaces (USART, I2C, SPI). It is designed for cost-sensitive embedded applications requiring efficient processing and connectivity.

Key Parameters:
- Core: 32-bit Qingke RISC-V (RV32EC instruction set)
- Max Clock Speed: 48 MHz
- Program Memory (Flash): 16 KB
- Data Memory (SRAM): 2 KB
- Operating Voltage (VDD): 2.7 V to 5.5 V (3.3V or 5V nominal)
- Operating Temperature: -40°C to 85°C
- ADC Resolution: 10-bit
- GPIO Count: Up to 18 (varies by package)
- Low-Power Modes: Sleep, Standby
- Debug Interface: Serial Single-Wire Debug

Pinout Table:
| Pin Number | Pin Name | Function | Description | Pin Type | Electrical Type |
| ---------- | -------- | -------- | ----------- | -------- | --------------- |
| 1 | PD7/NRST/T2CH4 | Reset | External reset input or GPIO PD7 | Input/Output | Digital |
| 2 | PA1/OSCI/A1 | OSC Input | High-speed crystal input or ADC Channel 1 | Input | Analog/Digital |
| 3 | PA2/OSCO/A0/T1CH2N | OSC Output | High-speed crystal output or ADC Channel 0 | Output | Analog/Digital |
| 4 | VSS | Ground | System ground reference | Power | 0V |
| 5 | PD0/T1CH1N/OPN1 | GPIO/Timer | Port D Pin 0 / Timer 1 Comp / Op-amp output | I/O | Analog/Digital |
| 6 | VDD | Power | Positive power supply input | Power | 2.7V - 5.5V |
| 7 | PC0/T2CH3/UTX | GPIO/UART | Port C Pin 0 / Timer 2 Channel 3 / UART TX | I/O | Digital |
| 8 | PC1/SDA/NSS/T2CH4 | GPIO/I2C/SPI | Port C Pin 1 / I2C Data / SPI Select / Timer 2 | I/O | Digital |
| 9 | PC2/SCL/URTS/T1BKIN | GPIO/I2C/UART | Port C Pin 2 / I2C Clock / UART RTS / Timer | I/O | Digital |
| 10 | PC3/T1CH3/T1CH1N | GPIO/Timer | Port C Pin 3 / Timer 1 Channel 3 | I/O | Digital |
| 11 | PC4/A2/T1CH4/MCO | GPIO/ADC/Clock| Port C Pin 4 / ADC 2 / Clock Out (MCO) | I/O | Analog/Digital |
| 12 | PC5/SCK/T1ETR/T2CH1ETR| GPIO/SPI/Timer| Port C Pin 5 / SPI Clock / External Timers | I/O | Digital |
| 13 | PC6/MOSI/T1CH1CH3N | GPIO/SPI/Timer| Port C Pin 6 / SPI MOSI / Timer 1 Comp | I/O | Digital |
| 14 | PC7/MISO/T1CH2 | GPIO/SPI/Timer| Port C Pin 7 / SPI MISO / Timer 1 Channel 2 | I/O | Digital |
| 15 | PD1/SWIO/AETR2 | Debug/GPIO | Single-wire debug interface / Port D Pin 1 | I/O | Digital |
| 16 | PD2/A3/T1CH1/T2CH3 | GPIO/ADC/Timer| Port D Pin 2 / ADC 3 / Timer 1 / Timer 2 | I/O | Analog/Digital |
| 17 | PD3/A4/T2CH2/AETR | GPIO/ADC/Timer| Port D Pin 3 / ADC 4 / Timer 2 Channel 2 | I/O | Analog/Digital |
| 18 | PD4/A7/UCK/T2CH1ETR | GPIO/ADC/UART | Port D Pin 4 / ADC 7 / UART Clock / Timer | I/O | Analog/Digital |
| 19 | PD5/A5/UTX | GPIO/ADC/UART | Port D Pin 5 / ADC 5 / UART TX | I/O | Analog/Digital |
| 20 | PD6/A6/URX | GPIO/ADC/UART | Port D Pin 6 / ADC 6 / UART RX | I/O | Analog/Digital |
| 21 | VSS | Exposed Pad | Thermal ground / System ground reference | Power | 0V |
